eend, Marmer- ;26
eend, Pacifische Grote Zee- ;46
eend, Ringsnavel- ;32
eend, Slob- ;26
eend, Tafel- ;30
Eend, Wilde ;24
eend, Witkop-;44
eend, Witoog- ;30
eend, Zwarte Zee- ;38
Egretta ardesiaca ;419
Egretta caerulea ;419
Egretta garzetta ;82
Egretta gularis ;82
Egretta thula ;82, ;410
Egretta tricolor ;419
Egyptische Nachtzwaluw /
Egyptian Nightjar ;234
Eider / Common Eider ;36
elder, Bril- ;408
eider, Konings- ;36
Eider, Stellers ;36
Ekster / Eurasian Magpie ;360
Ekster, Blauwe ;360
ekster, Maghreb- ;360
Elanoides forficatus ;419
Elanus caeruleus ;114
Eleonora's Valk / Eleonora's
Falcon ;118
Elzenfeetiran / Alder Flycatcher ;420
Emberiza aureola ;400
Emberiza bruniceps ;400
Emberiza buchanani ;396
Emberiza caesia ;396
Emberiza calandra ;402
Emberiza chrysophrys ;392
Emberiza cia ;402
Emberiza cineracea ;398
Emberiza cirlus ;398
Emberiza citrinella ;398
Emberiza fucata ;421
Emberiza hortulana ;396
Emberiza leucocephalos ;398
Emberiza melanocephala ;400
Emberiza pallasi ;392
Emberiza pusilla ;392
Emberiza rustica ;394
Emberiza rutila ;400
Emberiza sahari ;402
Emberiza schoeniclus ;392
Emberiza spodocephala ;417
Emberiza striolata ;402
Empidonax alnorum ;420
Empidonax minimus ;420
Empidonax virescens ;420
Engelse Kwikstaart / Yellow Wagtail ;270
Eremalauda dunni ;252
Eremophila alpestris ;256
Eremophila bilopha ;256
Eremophila fava ;256
Eremophila penicillata ;256
Eremopterix nigriceps ;252
Eremopterix signatus ;420
Erithacus rubecula ;276
Eskimowulp / Eskimo Curlew ;419
Estrilda astrild ;426
Ethiopische Zwaluw / Ethiopian Swallow ;420
Euplectes afer ;425
Europese Kanarie / European Serin ;382
Eversmanns Roodstaart / Eversmann's Redstart ;420
Falco amurensis ;411
Falco biarmicus ;122
Falco cherrug ;122
Falco columbarius ;120
Falco concolor ;118
Falco eleonorae ;118
Falco naumanni ;116
Falco pelegrinoides ;120
Falco peregrinus ;120
Falco rusticolus ;122
Falco sparverius ;411
Falco subbuteo ;118
Falco tinnunculus ;116
Falco vespertinus ;116
Fazant / Common Pheasant ;58
fazant, Goud-;58
fazant, Konings-;423
fazant, Lady-Amherst- ;58
Ficedula albicilla ;338
Ficedula albicollis ;340
Ficedula hypoleuca ;340
Ficedula mugimaki ;420
Ficedula parva ;338
Ficedula semitorquata ;340
Finsch Tapuit / Finsch's Wheatear ;286
Fischers Agapornis / Fischer's Lovebird ;424
Fitis / Willow Warbler ;328
Fitis, Grauwe ;332
Fitis, Groene ;332
Flamingo / Greater Flamingo ;86
Flamingo, Chileense ;86, ;424
Flamingo, Kleine ;424
Flamingo, Rode ;86, ;424
Fluiteend, Rosse ;418
Fluiter / Wood Warbler ;328
Fluitzwaan / Whistling Swan ;14
Forsters Stern / Forster's Tern ;204
Francolinus francolinus ;52
Franjepoot. Grauwe ;162
Franjepoot, Grote ;162
Franjepoot, Rosse ;162
Franklins Meeuw / Franklin's Gull ;196
Frankolijn, Barbariise ;52
Frankolijn, Zwarte ;52
Frater / Twite ;378
Fratercula arctica ;208
Fratercula cirrhata ;420
Fregata aquila ;418
Fregata ariel ;418
Fregata magnificens ;409
Fregatvogel, Amerikaanse ;409
fregatvogel, Ascension- ;418
Fregatvogel, Kleine ;418
Fregetta tropica ;418
Freira / Zino's Petrel ;72
Fringilla coelebs ;376
Fringilla (coelebs) canariensis ;376
Fringilla (coelebs) spodiogenys ;376
Fringilla montifringilla ;376
Fringilla teydea ;376
Fulica americana ;411
Fulica atra ;126
Fulica cristata ;126
Fulmarus glacialis ;68
Fuut / Great Crested Grebe ;66
fuut, Dikbek- ;64
Fuut, Geoorde ;64
fuut, Roodhals- ;66
Gaai / Eurasian Jav ;362
gaai, Taiga- ;362
Galerida cristata ;248
Galerida macrorhyncha ;248
Galerida theklae ;248
Gallinago delicata ;413
Gallinago gallinago ;160
Gallinago media ;160
Gallinago megala ;413
Gallinago stenura ;172
Gallinula angulata ;419
Gallinula chloropus ;126
gans, Brand- ;20
gans, Dwerg- ;16
Gans, Grauwe ;18
gans, Groenlandse Kol- ;16
Gans, Grote Canadese ;20
Gans, Indische ;22
gans, Keizer-;422
Gans, Kleine Canadese ;20
gans, Kleine Riet- ;18
gans, Kol- ;16
gans, Nijl- ;22
gans, Roodhals- ;22
Gans, Ross';14. ;422
gans, Rot- ;20
gans, Sneeuw- ;14
gans, Spoorwiek-;418
gans, Taigariet- ;18
gans, Toendrariet- ;18
